Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Mahaana,Karachi,NASTP Karachi,hello@mahaana.com,company contact page,,mahaana.com,,,"mahaana-com.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Client host [39.57.38.103] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/39.57.38.103 AS(1450) [DU2PEPF00028D0B.eurprd03.prod.outlook.com 2026-08-17T10:05:24.079Z 08DEF923D99DD4BF]' | fake:mahaana-com.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Clien"
Transviti,Karachi,NASTP Karachi,sarim.khan@transviti.com,linkedin hiring post Senior HR Manager,,transviti.com,,,cache probe-blocked
Transviti,Karachi,NASTP Karachi,career@transviti.com,linkedin job post,,transviti.com,,,"transviti-com.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Client host [39.57.38.103] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/39.57.38.103 AS(1450) [AM4PEPF00027A60.eurprd04.prod.outlook.com 2026-08-17T10:05:29.020Z 08DEF8F498309320]' | fake:transviti-com.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, C"
Ashrei Tech,Karachi,NASTP Karachi,talent@ashreitech.com,linkedin jobs apply-to,,ashreitech.com,,,cache probe-blocked
Ability,Karachi,NASTP Karachi,roland.coutinho@ability.com.pk,linkedin hiring post Senior HR NASTP,,ability.com.pk,,,"ability-com-pk.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Client host [39.57.38.103] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/39.57.38.103 AS(1450) [DB5PEPF00014B94.eurprd02.prod.outlook.com 2026-08-17T10:05:33.890Z 08DEFB7B9CD25B63]' | fake:ability-com-pk.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable,"
Ability,Karachi,NASTP Karachi,hello@ability.com.pk,company website,,ability.com.pk,,,"ability-com-pk.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Client host [39.57.38.103] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/39.57.38.103 AS(1450) [AMS1EPF0000008E.eurprd05.prod.outlook.com 2026-08-17T10:05:37.683Z 08DEF8D18B70B75F]' | fake:ability-com-pk.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable,"
Ability,Karachi,NASTP Karachi,info@ability.com.pk,company website,,ability.com.pk,,,"ability-com-pk.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Client host [39.57.38.103] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/39.57.38.103 AS(1450) [DB5PEPF00014B93.eurprd02.prod.outlook.com 2026-08-17T10:05:40.974Z 08DEFAAB9049BE60]' | fake:ability-com-pk.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable,"
Inseyab,Karachi,NASTP Karachi,amber.fatima@inseyab.com,linkedin HR specialist hiring post,,inseyab.com,,,cache probe-blocked
Inseyab,Karachi,NASTP Karachi,hr@inseyab.com,linkedin hiring post,,inseyab.com,,,cache probe-blocked
Inseyab,Karachi,NASTP Karachi,info@inseyab.com,linkedin company page,,inseyab.com,,,"inseyab-com.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Client host [39.57.38.103] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/39.57.38.103 AS(1450) [AM3PEPF00009BA1.eurprd04.prod.outlook.com 2026-08-17T10:05:45.561Z 08DEF906C5F52806]' | fake:inseyab-com.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Clien"
